13,-1,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337 
10,-1,0.555,0.405,0.19,1.406,0.6115,0.342,0.389 
9,-1,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965 
9,-1,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975 
9,0,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925 
8,-1,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276 
8,1,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725 
11,0,0.595,0.43,0.21,1.5245,0.653,0.396,0.41 
9,-1,0.61,0.475,0.175,1.024,0.409,0.261,0.322 
9,-1,0.61,0.485,0.17,1.281,0.597,0.3035,0.33 
10,0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315 
9,0,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925 
9,0,0.635,0.51,0.17,1.2235,0.532,0.271,0.354 
11,0,0.635,0.525,0.18,1.3695,0.634,0.318,0.363 
9,-1,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835 
11,-1,0.64,0.495,0.165,1.307,0.678,0.292,0.266 
10,-1,0.645,0.505,0.185,1.463,0.592,0.3905,0.416 
10,0,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326 
11,0,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37 
13,-1,0.68,0.54,0.21,1.7885,0.8345,0.408,0.437 
11,-1,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685 
14,-1,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563 
12,0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726 
4,1,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02 
6,1,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07 
8,1,0.375,0.285,0.09,0.237,0.106,0.0395,0.08 
7,1,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084 
8,1,0.39,0.28,0.09,0.215,0.0845,0.034,0.079 
6,1,0.395,0.3,0.09,0.253,0.1155,0.05,0.075 
6,1,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945 
7,1,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135 
8,1,0.435,0.325,0.105,0.335,0.136,0.065,0.115 
9,1,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12 
8,1,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245 
8,1,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345 
9,1,0.455,0.355,0.105,0.372,0.138,0.0765,0.135 
8,1,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455 
8,1,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162 
9,1,0.475,0.375,0.11,0.456,0.182,0.099,0.16 
7,1,0.495,0.33,0.1,0.44,0.177,0.095,0.15 
8,1,0.495,0.375,0.115,0.507,0.241,0.103,0.15 
8,1,0.5,0.38,0.135,0.5285,0.226,0.123,0.209 
7,1,0.515,0.385,0.125,0.572,0.237,0.1435,0.165 
11,1,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196 
11,1,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186 
8,1,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18 
9,1,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237 
8,-1,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159 
10,-1,0.54,0.42,0.19,0.6855,0.293,0.163,0.38 
10,1,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21 
11,1,0.55,0.445,0.145,0.783,0.3045,0.157,0.265 
9,-1,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264 
9,1,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475 
10,-1,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845 
10,0,0.57,0.47,0.14,0.871,0.385,0.211,0.2315 
9,-1,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276 
8,1,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22 
10,-1,0.575,0.445,0.14,0.737,0.325,0.1405,0.237 
9,1,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24 
10,0,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425 
11,-1,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335 
9,-1,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235 
8,1,0.59,0.47,0.145,0.974,0.453,0.236,0.289 
9,-1,0.59,0.405,0.15,0.853,0.326,0.2615,0.245 
12,-1,0.595,0.47,0.175,0.991,0.382,0.2395,0.5 
9,-1,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289 
9,0,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875 
11,0,0.6,0.45,0.14,0.869,0.3425,0.195,0.291 
12,-1,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255 
11,0,0.61,0.495,0.16,1.089,0.469,0.198,0.384 
11,-1,0.615,0.485,0.215,0.9615,0.422,0.176,0.29 
13,-1,0.615,0.49,0.17,1.145,0.4915,0.208,0.343 
11,1,0.62,0.475,0.16,0.907,0.371,0.167,0.3075 
11,0,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355 
11,-1,0.63,0.515,0.175,1.1955,0.492,0.247,0.37 
10,-1,0.63,0.495,0.18,1.31,0.495,0.295,0.4695 
11,0,0.635,0.505,0.165,1.251,0.577,0.227,0.3825 
9,0,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155 
9,-1,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387 
11,0,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015 
9,0,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355 
11,-1,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395 
12,-1,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364 
11,-1,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42 
9,0,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225 
11,0,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415 
10,0,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401 
10,-1,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485 
11,-1,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385 
11,0,0.68,0.52,0.185,1.494,0.615,0.3935,0.406 
11,0,0.68,0.56,0.195,1.664,0.58,0.3855,0.545 
10,-1,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055 
11,0,0.695,0.535,0.2,1.5855,0.667,0.334,0.471 
11,0,0.7,0.555,0.22,1.666,0.647,0.4285,0.455 
13,-1,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625 
14,0,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965 
11,0,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48 
4,1,0.225,0.17,0.05,0.0515,0.019,0.012,0.017 
5,1,0.23,0.17,0.05,0.057,0.026,0.013,0.016 
6,1,0.255,0.185,0.06,0.0925,0.039,0.021,0.025 
7,1,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595 
7,1,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093 
8,1,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725 
8,-1,0.455,0.35,0.11,0.458,0.2,0.111,0.1305 
10,-1,0.46,0.355,0.14,0.491,0.207,0.115,0.174 
10,-1,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545 
11,-1,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188 
11,0,0.52,0.43,0.15,0.728,0.302,0.1575,0.235 
9,-1,0.525,0.4,0.13,0.622,0.2655,0.147,0.184 
9,-1,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345 
9,0,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161 
11,-1,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345 
8,0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221 
9,-1,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505 
10,-1,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121 
11,-1,0.595,0.455,0.145,0.942,0.43,0.182,0.277 
8,-1,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055 
11,-1,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439 
10,-1,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421 
5,1,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032 
5,1,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315 
5,1,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068 
7,1,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725 
7,1,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075 
8,1,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895 
8,1,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103 
7,1,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094 
7,1,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175 
7,1,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101 
6,1,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185 
10,-1,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455 
8,0,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385 
8,-1,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203 
10,0,0.525,0.4,0.135,0.714,0.318,0.138,0.208 
9,0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223 
7,0,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185 
8,-1,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315 
9,-1,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365 
10,0,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236 
10,-1,0.585,0.46,0.15,1.206,0.581,0.216,0.323 
11,-1,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245 
9,0,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352 
10,0,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625 
10,0,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105 
11,-1,0.67,0.515,0.165,1.1735,0.526,0.285,0.316 
11,-1,0.675,0.505,0.16,1.532,0.74,0.357,0.3815 
10,0,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725 
9,0,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185 
8,-1,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19 
9,-1,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185 
11,-1,0.535,0.42,0.125,0.764,0.312,0.1505,0.265 
10,-1,0.465,0.36,0.105,0.488,0.188,0.0845,0.19 
10,-1,0.51,0.4,0.14,0.6905,0.259,0.151,0.23 
11,1,0.335,0.26,0.09,0.1835,0.078,0.024,0.065 
20,-1,0.55,0.425,0.16,0.97,0.2885,0.139,0.48 
5,1,0.18,0.135,0.08,0.033,0.0145,0.007,0.01 
5,1,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185 
4,1,0.2,0.15,0.04,0.046,0.021,0.007,0.0065 
9,0,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355 
13,-1,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245 
14,-1,0.585,0.45,0.15,1.047,0.4315,0.276,0.315 
13,0,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345 
12,0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855 
24,0,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71 
10,0,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396 
21,0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725 
11,0,0.47,0.375,0.105,0.513,0.232,0.142,0.13 
9,-1,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135 
7,-1,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175 
9,-1,0.505,0.395,0.125,0.635,0.29,0.1555,0.175 
10,-1,0.535,0.44,0.165,0.875,0.279,0.18,0.3 
9,0,0.43,0.35,0.09,0.397,0.1575,0.089,0.12 
9,-1,0.55,0.435,0.11,0.806,0.3415,0.203,0.215 
6,0,0.34,0.255,0.085,0.204,0.097,0.021,0.05 
7,1,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035 
6,0,0.335,0.22,0.07,0.17,0.076,0.0365,0.05 
15,-1,0.64,0.49,0.14,1.194,0.4445,0.238,0.375 
9,0,0.55,0.44,0.125,0.765,0.33,0.2125,0.245 
13,0,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805 
9,0,0.545,0.41,0.115,0.6765,0.29,0.158,0.22 
18,0,0.64,0.54,0.175,1.571,0.627,0.271,0.475 
15,-1,0.605,0.49,0.155,1.153,0.503,0.2505,0.295 
15,-1,0.605,0.47,0.115,1.114,0.3925,0.291,0.31 
10,-1,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35 
14,0,0.57,0.465,0.155,0.872,0.3245,0.239,0.285 
13,-1,0.525,0.405,0.16,0.792,0.316,0.1455,0.28 
11,0,0.505,0.405,0.18,0.606,0.239,0.1235,0.18 
6,-1,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065 
9,-1,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145 
11,1,0.51,0.405,0.12,0.61,0.229,0.131,0.235 
12,0,0.49,0.38,0.13,0.539,0.229,0.1355,0.165 
15,0,0.505,0.41,0.135,0.657,0.291,0.133,0.195 
8,-1,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775 
8,1,0.27,0.195,0.07,0.102,0.045,0.0135,0.034 
7,0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835 
11,-1,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206 
10,-1,0.645,0.505,0.165,1.307,0.4335,0.262,0.52 
11,-1,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29 
13,0,0.67,0.545,0.175,1.707,0.6995,0.387,0.575 
11,0,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235 
6,0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13 
8,0,0.51,0.385,0.135,0.632,0.282,0.145,0.17 
16,-1,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665 
7,-1,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24 
5,1,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01 
13,-1,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405 
14,0,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2 
20,-1,0.565,0.435,0.185,1.032,0.354,0.2045,0.31 
12,0,0.61,0.47,0.16,1.017,0.426,0.2255,0.32 
18,0,0.545,0.405,0.175,0.98,0.2585,0.207,0.38 
5,1,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045 
7,1,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05 
11,-1,0.45,0.335,0.14,0.478,0.1865,0.115,0.16 
9,0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18 
10,0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215 
6,0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08 
17,0,0.62,0.485,0.22,1.511,0.5095,0.284,0.51 
17,0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41 
15,0,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49 
9,-1,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07 
8,1,0.295,0.215,0.075,0.116,0.037,0.0295,0.04 
15,1,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175 
9,1,0.32,0.25,0.08,0.1565,0.057,0.034,0.06 
14,1,0.43,0.34,0.125,0.384,0.1375,0.061,0.146 
12,-1,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265 
10,0,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335 
14,0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325 
13,0,0.555,0.42,0.14,0.868,0.33,0.243,0.21 
14,0,0.57,0.495,0.16,1.0915,0.452,0.275,0.315 
11,0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37 
16,-1,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545 
10,-1,0.425,0.34,0.12,0.388,0.149,0.087,0.125 
14,0,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365 
16,-1,0.675,0.525,0.175,1.402,0.483,0.3205,0.465 
11,-1,0.5,0.4,0.145,0.6025,0.216,0.138,0.21 
9,-1,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1 
18,-1,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355 
8,-1,0.52,0.415,0.175,0.753,0.258,0.171,0.255 
16,-1,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47 
9,1,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115 
10,0,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119 
13,0,0.45,0.35,0.135,0.56,0.231,0.137,0.145 
9,1,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115 
12,0,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4 
11,-1,0.57,0.455,0.15,0.96,0.387,0.2385,0.275 
12,-1,0.41,0.325,0.12,0.3745,0.158,0.081,0.125 
13,-1,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265 
12,0,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365 
13,0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42 
14,-1,0.665,0.535,0.155,1.383,0.596,0.2565,0.485 
8,1,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075 
18,-1,0.635,0.51,0.155,1.156,0.428,0.289,0.315 
14,-1,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43 
15,0,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47 
15,-1,0.555,0.435,0.135,0.858,0.377,0.1585,0.29 
14,-1,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395 
15,-1,0.635,0.48,0.19,1.467,0.5825,0.303,0.42 
14,0,0.655,0.51,0.16,1.092,0.396,0.2825,0.37 
19,0,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515 
13,0,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44 
13,-1,0.55,0.435,0.16,0.906,0.342,0.219,0.295 
15,0,0.61,0.495,0.19,1.213,0.464,0.306,0.365 
11,-1,0.595,0.5,0.165,1.06,0.402,0.28,0.275 
6,-1,0.3,0.24,0.09,0.161,0.0725,0.039,0.05 
9,0,0.435,0.35,0.125,0.459,0.197,0.1145,0.145 
8,1,0.455,0.375,0.125,0.533,0.233,0.106,0.185 
12,-1,0.48,0.38,0.13,0.6175,0.3,0.142,0.175 
6,1,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11 
7,0,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13 
5,1,0.3,0.23,0.075,0.15,0.0605,0.042,0.045 
12,0,0.575,0.48,0.15,0.8745,0.375,0.193,0.29 
9,-1,0.505,0.385,0.11,0.655,0.3185,0.15,0.185 
7,-1,0.455,0.375,0.125,0.484,0.2155,0.102,0.165 
18,-1,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39 
13,0,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29 
12,0,0.645,0.52,0.19,1.3105,0.58,0.288,0.37 
14,0,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33 
17,-1,0.565,0.45,0.115,0.9085,0.398,0.197,0.29 
12,0,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285 
14,-1,0.48,0.38,0.135,0.528,0.2,0.1395,0.16 
11,0,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185 
10,0,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12 
11,-1,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115 
12,0,0.595,0.465,0.145,1.107,0.402,0.2415,0.31 
13,0,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24 
17,-1,0.52,0.425,0.155,0.7735,0.297,0.123,0.255 
11,-1,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145 
13,0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175 
18,0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25 
12,-1,0.46,0.355,0.11,0.415,0.215,0.082,0.13 
12,-1,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17 
15,0,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215 
12,-1,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22 
18,0,0.655,0.53,0.19,1.428,0.493,0.318,0.565 
24,-1,0.69,0.54,0.185,1.6195,0.533,0.353,0.555 
11,-1,0.55,0.45,0.17,0.81,0.317,0.157,0.22 
13,0,0.58,0.475,0.165,1.0385,0.414,0.26,0.305 
11,0,0.59,0.475,0.155,0.9715,0.371,0.235,0.28 
11,-1,0.565,0.44,0.155,0.868,0.348,0.217,0.26 
13,0,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405 
14,0,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315 
12,-1,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205 
15,0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27 
15,-1,0.535,0.42,0.16,0.72,0.275,0.164,0.225 
12,0,0.51,0.395,0.12,0.6175,0.262,0.122,0.193 
9,-1,0.53,0.405,0.13,0.738,0.2845,0.17,0.193 
11,0,0.495,0.375,0.15,0.597,0.2615,0.135,0.178 
13,-1,0.575,0.455,0.185,1.156,0.5525,0.243,0.295 
14,0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345 
14,-1,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22 
14,0,0.605,0.485,0.165,1.0735,0.437,0.205,0.33 
17,-1,0.645,0.5,0.19,1.229,0.524,0.278,0.395 
13,0,0.62,0.5,0.175,1.146,0.477,0.23,0.39 
16,-1,0.605,0.485,0.175,1.145,0.4325,0.27,0.405 
16,0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39 
11,0,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49 
15,0,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52 
12,0,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265 
16,0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22 
16,1,0.6,0.445,0.175,1.057,0.383,0.216,0.355 
10,1,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08 
9,0,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11 
5,-1,0.275,0.2,0.08,0.099,0.037,0.024,0.03 
9,1,0.485,0.355,0.12,0.5085,0.21,0.122,0.135 
13,0,0.62,0.485,0.165,1.166,0.483,0.238,0.355 
12,0,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155 
17,0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215 
11,-1,0.4,0.31,0.11,0.314,0.138,0.057,0.1 
11,1,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125 
9,-1,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655 
16,-1,0.44,0.35,0.14,0.451,0.171,0.0705,0.184 
7,-1,0.265,0.2,0.065,0.084,0.034,0.0105,0.03 
4,-1,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008 
19,0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52 
16,0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25 
11,1,0.49,0.385,0.14,0.5425,0.198,0.127,0.175 
15,0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595 
12,0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098 
12,1,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725 
10,-1,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485 
12,1,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28 
16,1,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425 
13,1,0.575,0.475,0.17,0.967,0.3775,0.284,0.275 
10,0,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225 
10,0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08 
11,0,0.51,0.34,0.18,0.7005,0.312,0.165,0.2 
13,1,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2 
12,1,0.45,0.36,0.125,0.45,0.191,0.0865,0.145 
8,1,0.39,0.3,0.105,0.259,0.0955,0.038,0.085 
12,0,0.425,0.325,0.135,0.382,0.1465,0.079,0.14 
11,0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145 
15,1,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42 
16,0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58 
12,0,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275 
17,1,0.54,0.435,0.145,0.97,0.4285,0.22,0.264 
12,0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845 
14,-1,0.43,0.33,0.095,0.34,0.1315,0.085,0.112 
13,0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345 
13,1,0.495,0.38,0.145,0.515,0.175,0.098,0.212 
12,0,0.48,0.38,0.145,0.59,0.232,0.141,0.23 
14,1,0.47,0.4,0.16,0.51,0.1615,0.073,0.198 
11,-1,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104 
13,1,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165 
10,1,0.47,0.375,0.105,0.468,0.1665,0.108,0.17 
11,1,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18 
13,0,0.51,0.38,0.13,0.584,0.224,0.1355,0.185 
15,0,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205 
